,Unnamed: 0,filename,Accuracy,F1,Feature Selection,Classifier,Boost or Bag
66,88,svmcfs_0bag_finalscore.csv,0.746,0.387,CFS,SVM,bag
67,80,svminfogain_20_finalscore.csv,0.748,0.379,IG-20,SVM,none
68,60,svminfogain_20bag_finalscore.csv,0.748,0.362,IG-20,SVM,bag
69,46,svminfogain_40_finalscore.csv,0.749,0.393,IG-40,SVM,none
70,74,svminfogain_40bag_finalscore.csv,0.749,0.384,IG-40,SVM,bag
71,32,svminfogain_60_finalscore.csv,0.75,0.365,IG-60,SVM,none
72,1,svminfogain_60bag_finalscore.csv,0.75,0.362,IG-60,SVM,bag
73,13,svminfogain_78_finalscore.csv,0.75,0.362,IG-78,SVM,none
74,24,svminfogain_78bag_finalscore.csv,0.75,0.363,IG-78,SVM,bag
75,8,svmmrmr_0_finalscore.csv,0.744,0.31,MRMR,SVM,none
76,49,svmmrmr_0bag_finalscore.csv,0.744,0.301,MRMR,SVM,bag
77,15,xgboostcfs_0_finalscore.csv,0.748,0.33,CFS,XGB,boost
78,36,xgboostcfs_0bag_finalscore.csv,0.748,0.326,CFS,XGB,bag
79,69,xgboostinfogain_20_finalscore.csv,0.749,0.341,IG-20,XGB,boost
80,23,xgboostinfogain_20bag_finalscore.csv,0.749,0.329,IG-20,XGB,bag
81,81,xgboostinfogain_40_finalscore.csv,0.75,0.341,IG-40,XGB,boost
82,29,xgboostinfogain_40bag_finalscore.csv,0.75,0.333,IG-40,XGB,bag
83,16,xgboostinfogain_60_finalscore.csv,0.749,0.343,IG-60,XGB,boost
84,57,xgboostinfogain_60bag_finalscore.csv,0.75,0.333,IG-60,XGB,bag
85,26,xgboostinfogain_78_finalscore.csv,0.749,0.343,IG-78,XGB,boost
86,61,xgboostinfogain_78bag_finalscore.csv,0.75,0.331,IG-78,XGB,bag
87,87,xgboostmrmr_0_finalscore.csv,0.743,0.276,MRMR,XGB,boost
88,14,xgboostmrmr_0bag_finalscore.csv,0.744,0.277,MRMR,XGB,bag
