index,Feature Name,CI not exp Lower,CI not exp Upper,odds ratio,p_value,multivariate,CI not exp Lower,CI not exp Upper,odds ratio,p_value
60,V106_3.0,0.386,0.547,0.459,<0.001,,0.660,1.035,0.826,0.096
61,HannahWater_1.0,0.493,0.591,0.540,<0.001,,0.852,1.389,1.088,0.499
62,HannahWater_2.0,1.013,1.175,1.091,2.1E-02,,0.947,1.148,1.043,0.398
63,V013_1.0,0.731,0.878,0.801,<0.001,,0.999,1.663,1.289,0.051
64,V013_2.0,0.892,1.079,0.981,6.9E-01,,1.018,1.640,1.292,0.035
65,V013_3.0,1.003,1.209,1.101,4.3E-02,,0.988,1.532,1.230,0.064
66,V013_4.0,1.060,1.299,1.173,2.1E-03,,0.988,1.498,1.216,0.065
67,V013_5.0,0.988,1.231,1.102,8.2E-02,,0.962,1.448,1.180,0.112
68,V013_6.0,0.906,1.179,1.034,6.2E-01,,0.927,1.412,1.144,0.209
69,V024_1.0,0.594,0.765,0.674,<0.001,,0.362,0.601,0.467,<0.001
70,V024_2.0,2.163,2.794,2.458,<0.001,,0.616,1.064,0.810,0.130
71,V024_3.0,0.473,0.614,0.539,<0.001,,0.292,0.532,0.395,<0.001
72,V024_4.0,0.876,1.094,0.979,7.1E-01,,0.372,0.686,0.505,<0.001
73,V024_5.0,3.919,4.970,4.413,<0.001,,1.402,2.403,1.835,<0.001
74,V024_6.0,0.538,0.739,0.630,<0.001,,0.301,0.605,0.427,<0.001
75,V024_7.0,0.629,0.800,0.710,<0.001,,0.273,0.543,0.385,<0.001
76,V024_8.0,0.909,1.213,1.050,5.1E-01,,0.391,0.821,0.567,0.003
77,V024_9.0,0.852,1.185,1.004,9.6E-01,,0.510,0.947,0.695,0.021
78,V024_10.0,0.411,0.543,0.473,<0.001,,0.448,0.988,0.665,0.043
