index,multivariate,CI 95%  lower,CI 95% upper,OR,p-value,meaning,univariate,CI 95%  lower,CI 95% upper,OR,p-value
31,ChildIPdrugs,0.761,1.03,0.89,0.122,,,1.197,1.556,1.365,<0.001
32,M45,0.856,1.07,0.96,0.422,,,0.779,0.934,0.853,0.001
33,ChildAgeGroups_1.0,1.462,2.64,1.96,<0.001,,,2.228,3.094,2.625,<0.001
34,ChildAgeGroups_2.0,1.546,2.36,1.91,<0.001,,,1.724,2.172,1.935,<0.001
35,ChildAgeGroups_3.0,1.192,1.67,1.41,<0.001,,,0.983,1.226,1.098,0.096
36,ChildAgeGroups_4.0,1.035,1.42,1.21,0.017,,,0.635,0.791,0.709,<0.001
37,ChildAgeGroups_5.0,0.069,3.61,0.50,0.491,,,0.166,5.943,0.993,0.993
38,V024_1.0,0.279,0.57,0.40,<0.001,,,0.625,0.835,0.722,<0.001
39,V024_2.0,0.494,1.06,0.72,0.094,,,1.823,2.579,2.168,<0.001
40,V024_3.0,0.195,0.43,0.29,<0.001,,,0.386,0.520,0.448,<0.001
41,V024_4.0,0.411,0.88,0.60,0.010,,,1.086,1.400,1.233,0.001
42,V024_5.0,1.101,2.38,1.62,0.014,,,2.909,4.060,3.436,<0.001
43,V024_6.0,0.277,0.68,0.43,<0.001,,,0.391,0.540,0.460,<0.001
44,V024_7.0,0.221,0.53,0.34,<0.001,,,0.561,0.732,0.641,<0.001
45,V024_8.0,0.429,1.12,0.69,0.131,,,0.782,1.126,0.938,0.493
46,V024_9.0,0.441,1.04,0.68,0.074,,,1.068,1.658,1.330,0.011
47,V024_10.0,0.342,1.07,0.60,0.082,,,0.473,0.748,0.595,<0.001
48,V106_1.0,0.874,1.16,1.00,0.949,,,0.782,0.962,0.867,0.007
49,V106_2.0,0.692,1.17,0.90,0.439,,,0.584,0.844,0.702,<0.001
50,V106_3.0,0.552,1.18,0.81,0.269,,,0.452,0.755,0.584,<0.001
51,HusbandEducationNew_1.0,0.899,1.16,1.02,0.756,,,0.789,0.958,0.869,0.005
52,HusbandEducationNew_2.0,0.812,1.22,1.00,0.978,,,0.742,1.015,0.868,0.076
53,HusbandEducationNew_3.0,1.014,1.72,1.32,0.039,,,0.731,1.050,0.877,0.153
54,MaternalOccNew_1.0,0.954,1.35,1.13,0.156,,,0.594,0.740,0.663,<0.001
55,MaternalOccNew_2.0,1.017,1.34,1.17,0.028,,,1.584,1.904,1.737,<0.001
56,HusbandOccNew_1.0,0.825,1.08,0.94,0.406,,,0.844,1.013,0.925,0.091
57,HusbandOccNew_2.0,0.746,1.12,0.91,0.377,,,1.137,1.561,1.333,<0.001
58,WaterSourceNew_1.0,0.759,1.57,1.09,0.631,,,0.633,0.828,0.724,<0.001
59,WaterSourceNew_2.0,0.977,1.24,1.10,0.115,,,0.860,1.031,0.942,0.195
60,TimetoWaterNew_1.0,0.755,1.40,1.03,0.858,,,0.859,1.030,0.941,0.189
61,TimetoWaterNew_2.0,0.689,1.29,0.94,0.704,,,1.140,1.380,1.254,<0.001
62,ReligionRecode_1.0,0.512,1.05,0.73,0.091,,,0.420,0.511,0.463,<0.001
63,ReligionRecode_2.0,0.592,1.18,0.84,0.311,,,0.678,0.855,0.762,<0.001
64,ReligionRecode_3.0,0.631,1.28,0.90,0.545,,,2.099,2.529,2.304,<0.001
65,HouseholdNumGroup_1.0,0.874,1.17,1.01,0.883,,,0.930,1.128,1.024,0.629
66,HouseholdNumGroup_2.0,0.769,1.28,0.99,0.962,,,0.986,1.440,1.191,0.070
67,V158_1.0,0.765,1.09,0.91,0.306,,,0.680,0.897,0.781,<0.001
68,V158_2.0,0.719,1.03,0.86,0.109,,,0.635,0.837,0.729,<0.001
69,V159_1.0,0.870,1.31,1.07,0.524,,,0.742,1.034,0.876,0.118
70,V159_2.0,0.741,1.22,0.95,0.703,,,0.554,0.733,0.637,<0.001
71,V157_1.0,0.825,1.38,1.07,0.625,,,0.531,0.796,0.650,<0.001
72,V157_2.0,0.811,1.89,1.24,0.322,,,0.588,1.191,0.836,0.322
73,V190_1.0,1.151,2.10,1.55,0.004,,,1.798,2.186,1.983,<0.001
74,V190_2.0,0.987,1.77,1.32,0.062,,,0.839,1.063,0.944,0.343
75,V190_3.0,0.836,1.48,1.11,0.462,,,0.625,0.804,0.709,<0.001
76,V190_4.0,0.888,1.54,1.17,0.266,,,0.616,0.806,0.704,<0.001
77,BirthSizeGrouped_1.0,0.904,1.15,1.02,0.741,,,0.815,0.979,0.893,0.016
78,BirthSizeGrouped_2.0,0.952,1.27,1.10,0.200,,,1.233,1.523,1.370,<0.001
79,BirthSizeGrouped_3.0,0.439,1.30,0.75,0.309,,,0.398,1.029,0.640,0.065
80,HeightNew_1.0,1.611,2.89,2.16,<0.001,,,2.415,3.115,2.743,<0.001
81,HeightNew_2.0,1.447,2.18,1.78,<0.001,,,0.790,0.959,0.871,0.005
82,WeightGroupNew_1.0,1.126,7.07,2.82,0.027,,,2.675,3.295,2.969,<0.001
83,WeightGroupNew_2.0,0.623,3.80,1.54,0.350,,,0.535,0.643,0.586,<0.001
84,WeightGroupNew_3.0,0.515,3.11,1.27,0.608,,,0.293,0.396,0.341,<0.001
85,WeightGroupNew_4.0,0.957,9.01,2.94,0.060,,,1.688,5.621,3.081,<0.001
86,BirthOrderGrouped_1.0,0.969,1.33,1.14,0.117,,,0.961,1.158,1.055,0.259
87,BirthOrderGrouped_2.0,1.021,1.58,1.27,0.032,,,1.049,1.295,1.165,0.004
88,V013_1.0,1.028,2.88,1.72,0.039,,,1.386,2.507,1.864,<0.001
89,V013_2.0,1.027,2.32,1.54,0.037,,,1.050,1.323,1.179,0.005
90,V013_3.0,1.067,2.30,1.57,0.022,,,0.970,1.183,1.071,0.174
91,V013_4.0,1.014,2.14,1.47,0.042,,,0.881,1.093,0.981,0.733
92,V013_5.0,0.933,1.95,1.35,0.112,,,0.757,0.968,0.856,0.013
93,V013_6.0,0.796,1.76,1.18,0.406,,,0.604,0.868,0.724,<0.001
