multivariate,CI 95%  lower,CI 95% upper,OR,p-value,meaning,univariate,CI 95%  lower,CI 95% upper,OR,p-value
HeightNew_2.0,1.446786305,2.17952287,1.775754442,3.95E-08,,,7.90E-01,0.959177934,0.870529988,0.005073368
WeightGroupNew_1.0,1.125774984,7.071197902,2.821449574,0.026918963,,,2.674995671,3.29530594,2.968994632,5.50741E-93
WeightGroupNew_2.0,0.623189443,3.795594595,1.537977399,0.350331398,,,0.534760023,0.643135751,0.586449733,8.69158E-30
WeightGroupNew_3.0,0.514605089,3.1137581,1.265841919,0.607726561,,,0.293070276,0.395965832,0.34065498,1.04732E-44
WeightGroupNew_4.0,0.957306377,9.01146641,2.937130277,0.059607966,,,1.688415705,5.620628241,3.08057738,0.000245214
BirthOrderGrouped_1.0,0.968554888,1.332818923,1.136181448,0.116960931,,,0.96122258,1.158101705,1.055079859,0.259340898
BirthOrderGrouped_2.0,1.021106419,1.576736762,1.26886407,0.031681134,,,1.048906491,1.295019287,1.165484507,0.004400049
V013_1.0,1.027947525,2.875609998,1.719295257,0.038923116,,,1.386211866,2.507419019,1.864353507,3.79036E-05
V013_2.0,1.027038575,2.323895418,1.544904604,0.03679431,,,1.049955075,1.323003286,1.178598326,0.005326168
V013_3.0,1.067233643,2.301703355,1.567308283,0.021915156,,,0.970096715,1.182703955,1.071138283,0.174016086
V013_4.0,1.014008854,2.139899133,1.473050124,0.042054433,,,0.880972113,1.093205155,0.981368053,0.732676953
V013_5.0,0.932749301,1.953934879,1.350011627,0.111629404,,,0.757023894,0.9679219,0.85600234,0.013137852
V013_6.0,0.796195624,1.75596969,1.182410835,0.406301491,,,0.603983033,0.867581819,0.723881688,0.000469795
