Feature,Response,Anemia(+),Anemia(-),,,,,,,,,,,
ChildIntestinalParasoteDrugs,Yes,4133,2621,6754,7795,6754(86.6%),,,,,61.19336689,38.80663311,4133(61.2%),2621(38.8%)
,No,558,483,1041,7795,1041(13.4%),,,,,53.60230548,46.39769452,558(53.6%),483(46.4%)
IronSupplementDuringPregnancy,Yes,1910,1394,3304,7795,3304(42.4%),,,,,57.80871671,42.19128329,1910(57.8%),1394(42.2%)
,No,2781,1710,4491,7795,4491(57.6%),,,,,61.9238477,38.0761523,2781(61.9%),1710(38.1%)
ChildAge,6-11months,715,199,914,7795,914(11.7%),,,,,78.22757112,21.77242888,715(78.2%),199(21.8%)
,12-23months,1264,497,1761,7795,1761(22.6%),,,,,71.7773992,28.2226008,1264(71.8%),497(28.2%)
,24-35months,1057,650,1707,7795,1707(21.9%),,,,,61.92149971,38.07850029,1057(61.9%),650(38.1%)
,36-47months,889,770,1659,7795,1659(21.3%),,,,,53.58649789,46.41350211,889(53.6%),770(46.4%)
,0-5months,3,2,5,7795,5(0.1%),,,,,60,40,3(60%),2(40%)
,48-59months,763,986,1749,7795,1749(22.4%),,,,,43.62492853,56.37507147,763(43.6%),986(56.4%)
Region,Tigray,440,389,829,7795,829(10.6%),,,,,53.07599517,46.92400483,440(53.1%),389(46.9%)
,Afar,561,183,744,7795,744(9.5%),,,,,75.40322581,24.59677419,561(75.4%),183(24.6%)
,Amhara,332,451,783,7795,783(10%),,,,,42.40102171,57.59897829,332(42.4%),451(57.6%)
,Oromia,785,435,1220,7795,1220(15.7%),,,,,64.3442623,35.6557377,785(64.3%),435(35.7%)
,Somali,835,184,1019,7795,1019(13.1%),,,,,81.94308145,18.05691855,835(81.9%),184(18.1%)
,Benishangul,281,378,659,7795,659(8.5%),,,,,42.64036419,57.35963581,281(42.6%),378(57.4%)
,SNNPR,504,491,995,7795,995(12.8%),,,,,50.65326633,49.34673367,504(50.7%),491(49.3%)
,Gambela,299,210,509,7795,509(6.5%),,,,,58.74263261,41.25736739,299(58.7%),210(41.3%)
,Harari,248,125,373,7795,373(4.8%),,,,,66.48793566,33.51206434,248(66.5%),125(33.5%)
,AddisAdaba,146,159,305,7795,305(3.9%),,,,,47.86885246,52.13114754,146(47.9%),159(52.1%)
,Dire Wara,260,99,359,7795,359(4.6%),,,,,72.42339833,27.57660167,260(72.4%),99(27.6%)
MaternalEducation,Primary,1142,840,1982,7795,1982(25.4%),,,,,57.6185671,42.3814329,1142(57.6%),840(42.4%)
,Secondary,253,233,486,7795,486(6.2%),,,,,52.05761317,47.94238683,253(52.1%),233(47.9%)
,Highschool+,115,128,243,7795,243(3.1%),,,,,47.32510288,52.67489712,115(47.3%),128(52.7%)
,None,3181,1903,5084,7795,5084(65.2%),,,,,62.56884343,37.43115657,3181(62.6%),1903(37.4%)
PaternalEducation,Primary,1420,1034,2454,7795,2454(31.5%),,,,,57.86471068,42.13528932,1420(57.9%),1034(42.1%)
,Secondary,404,304,708,7795,708(9.1%),,,,,57.06214689,42.93785311,404(57.1%),304(42.9%)
,Highschool+,294,220,514,7795,514(6.6%),,,,,57.19844358,42.80155642,294(57.2%),220(42.8%)
,None,2573,1546,4119,7795,4119(52.8%),,,,,62.46661811,37.53338189,2573(62.5%),1546(37.5%)
MaternalOccupation,Agriculture,850,777,1627,7795,1627(20.9%),,,,,52.24339275,47.75660725,850(52.2%),777(47.8%)
,NotWorking,2977,1552,4529,7795,4529(58.1%),,,,,65.73194966,34.26805034,2977(65.7%),1552(34.3%)
,Others,864,775,1639,7795,1639(21%),,,,,52.71507016,47.28492984,864(52.7%),775(47.3%)
PaternalOccupation,Agriculture,2408,1654,4062,7795,4062(52.1%),,,,,59.28114229,40.71885771,2408(59.3%),1654(40.7%)
,NotWorking,498,254,752,7795,752(9.6%),,,,,66.22340426,33.77659574,498(66.2%),254(33.8%)
,Others,1785,1196,2981,7795,2981(38.2%),,,,,59.87923516,40.12076484,1785(59.9%),1196(40.1%)
Watersource,Piped,527,462,989,7795,989(12.7%),,,,,53.28614762,46.71385238,527(53.3%),462(46.7%)
,Improved,2153,1471,3624,7795,3624(46.5%),,,,,59.40949227,40.59050773,2153(59.4%),1471(40.6%)
,UnImproved,2011,1171,3182,7795,3182(40.8%),,,,,63.19924576,36.80075424,2011(63.2%),1171(36.8%)
TravelTimeToWater,<30min,2235,1526,3761,7795,3761(48.2%),,,,,59.42568466,40.57431534,2235(59.4%),1526(40.6%)
,>30min,1773,1013,2786,7795,2786(35.7%),,,,,63.6396267,36.3603733,1773(63.6%),1013(36.4%)
,On premise,683,565,1248,7795,1248(16%),,,,,54.7275641,45.2724359,683(54.7%),565(45.3%)
Religion,Orthodox,1108,1243,2351,7795,2351(30.2%),,,,,47.12888133,52.87111867,1108(47.1%),1243(52.9%)
,Protestant,776,641,1417,7795,1417(18.2%),,,,,54.76358504,45.23641496,776(54.8%),641(45.2%)
,Muslim,2692,1145,3837,7795,3837(49.2%),,,,,70.15897837,29.84102163,2692(70.2%),1145(29.8%)
,Other,115,75,190,7795,190(2.4%),,,,,60.52631579,39.47368421,115(60.5%),75(39.5%)
FamilySize,1 to 4,1218,854,2072,7795,2072(26.6%),,,,,58.78378378,41.21621622,1218(58.8%),854(41.2%)
,5 to 9,3156,2072,5228,7795,5228(67.1%),,,,,60.36725325,39.63274675,3156(60.4%),2072(39.6%)
,10+,317,178,495,7795,495(6.4%),,,,,64.04040404,35.95959596,317(64%),178(36%)
ListerningRadio,Infrequent,502,413,915,7795,915(11.7%),,,,,54.86338798,45.13661202,502(54.9%),413(45.1%)
,Sometimes,492,430,922,7795,922(11.8%),,,,,53.36225597,46.63774403,492(53.4%),430(46.6%)
,NotAtAll,3697,2261,5958,7795,5958(76.4%),,,,,62.05102383,37.94897617,3697(62.1%),2261(37.9%)
WatchingTV,Infrequent,356,266,622,7795,622(8%),,,,,57.23472669,42.76527331,356(57.2%),266(42.8%)
,Sometimes,452,445,897,7795,897(11.5%),,,,,50.39018952,49.60981048,452(50.4%),445(49.6%)
,NotAtAll,3883,2393,6276,7795,6276(80.5%),,,,,61.87061823,38.12938177,3883(61.9%),2393(38.1%)
ReadingNews,Infrequent,199,198,397,7795,397(5.1%),,,,,50.12594458,49.87405542,199(50.1%),198(49.9%)
,Sometimes,71,56,127,7795,127(1.6%),,,,,55.90551181,44.09448819,71(55.9%),56(44.1%)
,NotAtAll,4421,2850,7271,7795,7271(93.3%),,,,,60.80319076,39.19680924,4421(60.8%),2850(39.2%)
WealthIndex,Poorest,2005,849,2854,7795,2854(36.6%),,,,,70.25227751,29.74772249,2005(70.3%),849(29.7%)
,Poorer,819,568,1387,7795,1387(17.8%),,,,,59.0483057,40.9516943,819(59%),568(41%)
,Middle,613,543,1156,7795,1156(14.8%),,,,,53.02768166,46.97231834,613(53%),543(47%)
,Richer,518,465,983,7795,983(12.6%),,,,,52.69582909,47.30417091,518(52.7%),465(47.3%)
,Richest,736,679,1415,7795,1415(18.2%),,,,,52.01413428,47.98586572,736(52%),679(48%)
ChildBirthSize,Average,1944,1372,3316,7795,3316(42.5%),,,,,58.62484922,41.37515078,1944(58.6%),1372(41.4%)
,Small,1338,700,2038,7795,2038(26.1%),,,,,65.65260059,34.34739941,1338(65.7%),700(34.3%)
,Unknown,34,35,69,7795,69(0.9%),,,,,49.27536232,50.72463768,34(49.3%),35(50.7%)
,Large,1375,997,2372,7795,2372(30.4%),,,,,57.96795953,42.03204047,1375(58%),997(42%)
ChildHeight,50-75cm,1250,363,1613,7795,1613(20.7%),,,,,77.49535028,22.50464972,1250(77.5%),363(22.5%)
,75-100cm,3085,2136,5221,7795,5221(67%),,,,,59.08829726,40.91170274,3085(59.1%),2136(40.9%)
,100cm+,356,605,961,7795,961(12.3%),,,,,37.04474506,62.95525494,356(37%),605(63%)
ChildWeight,6-9.9kg,2047,642,2689,7795,2689(34.5%),,,,,76.12495351,23.87504649,2047(76.1%),642(23.9%)
,10-14.9kg,2277,1914,4191,7795,4191(53.8%),,,,,54.33070866,45.66929134,2277(54.3%),1914(45.7%)
,15-19.9kg,299,517,816,7795,816(10.5%),,,,,36.64215686,63.35784314,299(36.6%),517(63.4%)
,1-5.9kg,60,13,73,7795,73(0.9%),,,,,82.19178082,17.80821918,60(82.2%),13(17.8%)
,20+kg,8,18,26,7795,26(0.3%),,,,,30.76923077,69.23076923,8(30.8%),18(69.2%)
BirthOrder,3 to 5,1846,1182,3028,7795,3028(38.8%),,,,,60.96433289,39.03566711,1846(61%),1182(39%)
,6+,1236,729,1965,7795,1965(25.2%),,,,,62.90076336,37.09923664,1236(62.9%),729(37.1%)
,1 to 2,1609,1193,2802,7795,2802(35.9%),,,,,57.42326909,42.57673091,1609(57.4%),1193(42.6%)
MaternalAge,15-19,169,61,230,7795,230(3%),,,,,73.47826087,26.52173913,169(73.5%),61(26.5%)
,20-24,968,561,1529,7795,1529(19.6%),,,,,63.30935252,36.69064748,968(63.3%),561(36.7%)
,25-29,1443,910,2353,7795,2353(30.2%),,,,,61.32596685,38.67403315,1443(61.3%),910(38.7%)
,30-34,1065,715,1780,7795,1780(22.8%),,,,,59.83146067,40.16853933,1065(59.8%),715(40.2%)
,35-39,707,533,1240,7795,1240(15.9%),,,,,57.01612903,42.98387097,707(57%),533(43%)
,40-44,266,238,504,7795,504(6.5%),,,,,52.77777778,47.22222222,266(52.8%),238(47.2%)
,45-49,73,86,159,7795,159(2%),,,,,45.91194969,54.08805031,73(45.9%),86(54.1%)
Total,,4691,3104,7795,7795,7795(100%),,,,,60.17960231,39.82039769,4691(60.2%),3104(39.8%)
