Feature,Feature Selection,Probability
WealthIndex: Poorer,Average,0.05
WealthIndex: Middle,Average,0.07
WealthIndex: Richer,Average,0.115
BirthsInLast5Yrs: 1-2,Average,0.27
BirthsInLast5Yrs: 3+,Average,0.23
NumberOfChildren: 1-3,Average,0.04
NumberOfChildren: 4+,Average,0.24
Contraception: Type1,Average,0.05
Contraception: Type2,Average,0.07
Contraception: Type3,Average,0.44
BMI: 18.5-24.9,Average,0.055
BMI: >25,Average,0.095
MaternalEducation: Primary,Average,0.085
MaternalEducation: Secondary,Average,0.115
MaternalEducation: Highschool+,Average,0.13
Watersource:Piped,Average,0.255
Watersource:Improved,Average,0.05
MaternalAge: 15-19,Average,0.325
MaternalAge: 20-24,Average,0.055
MaternalAge: 25-29,Average,0.055
MaternalAge: 30-34,Average,0.07
MaternalAge: 35-39,Average,0.05
MaternalAge: 40-44,Average,0.02
Region: Tigray,Average,0.075
Region: Afar,Average,0.695
Region: Amhara,Average,0.14
Region: Oromia,Average,0.03
Region: Somali,Average,0.99
Region: Benishangul,Average,0.075
Region: SNNPR,Average,0.16
Region: Gambela,Average,0.025
Region: Harari,Average,0.045
Region: AddisAdaba,Average,0.22
