Feature,Response,Anemia(+),Anemia(-),Total,,,,Total
,Muslim,2126(37.8%),3500(62.2%),5626(38.8%),2126,3500,5626,14489
,Other,73(31.3%),160(68.7%),233(1.6%),73,160,233,14489
FamilySize,1 to 4,1309(23.5%),4261(76.5%),5570(38.4%),1309,4261,5570,14489
,5 to 9,2383(29.1%),5792(70.9%),8175(56.4%),2383,5792,8175,14489
,10+,237(31.9%),507(68.1%),744(5.1%),237,507,744,14489
ListerningRadio,Infrequent,529(21.8%),1897(78.2%),2426(16.7%),529,1897,2426,14489
,Sometimes,510(20.7%),1952(79.3%),2462(17%),510,1952,2462,14489
,NotAtAll,2890(30.1%),6711(69.9%),9601(66.3%),2890,6711,9601,14489
WatchingTV,Infrequent,371(22.5%),1279(77.5%),1650(11.4%),371,1279,1650,14489
,Sometimes,611(18.2%),2748(81.8%),3359(23.2%),611,2748,3359,14489
,NotAtAll,2947(31.1%),6533(68.9%),9480(65.4%),2947,6533,9480,14489
ReadingNews,Infrequent,272(15.9%),1442(84.1%),1714(11.8%),272,1442,1714,14489
,Sometimes,123(20.4%),479(79.6%),602(4.2%),123,479,602,14489
,NotAtAll,3534(29%),8639(71%),12173(84%),3534,8639,12173,14489
WealthIndex,Poorest,1519(41.6%),2130(58.4%),3649(25.2%),1519,2130,3649,14489
,Poorer,547(28%),1410(72%),1959(13.5%),549,1410,1959,14489
,Middle,484(25.4%),1419(74.6%),1903(13.1%),484,1419,1903,14489
,Richer,421(21.6%),1527(78.4%),1948(13.4%),421,1527,1948,14489
,Richest,958(19%),4074(81%),5032(34.7%),958,4074,5032,14489
MaternalAge,15-19,755(23.8%),2417(76.2%),3172(21.9%),755,2417,3172,14489
,20-24,715(26.8%),1952(73.2%),2667(18.4%),715,1952,2667,14489
,25-29,761(28.7%),1891(71.3%),2652(18.3%),761,1891,2652,14489
,30-34,625(29.9%),1466(70.1%),2091(14.4%),625,1466,2091,14489
,35-39,511(28.8%),1261(71.2%),1772(12.2%),511,1261,1772,14489
,40-44,336(27.7%),876(72.3%),1212(8.4%),336,876,1212,14489
,45-49,226(24.5%),697(75.5%),923(6.4%),226,697,923,14489
Pregnant,Yes,395(37.5%),658(62.5%),1053(7.3%),395,658,1053,14489
,No,3534(26.3%),9902(73.7%),13436(92.7%),3534,9902,13436,14489
MenstruatedInLast6Weeks,Yes,2131(25.2%),6333(74.8%),8464(58.4%),2131,6333,8464,14489
,No,1798(29.8%),4227(70.2%),6025(41.6%),1798,4227,6025,14489
Married,Yes,1121(21.3%),4148(78.7%),5269(36.4%),1121,4148,5269,14489
,No,2808(30.5%),6412(69.5%),9220(63.6%),2808,6412,9220,14489
IronSupplementedDuringPregnancy,Yes,3796(27.1%),10207(72.9%),14003(96.6%),3796,10207,14003,14489
,No,133(27.4%),353(72.6%),486(3.4%),133,353,486,14489
BirthsInLast5Yrs,1  to 2,2031(32%),4324(68%),6355(43.9%),2031,4324,6355,14489
,3+,216(47%),244(53%),460(3.2%),216,244,460,14489
,None,1682(21.9%),5992(78.1%),7674(53%),1682,5992,7674,14489
NumberOfChildren,1 to 3,1294(27.1%),3479(72.9%),4773(32.9%),1294,3479,4773,14489
,4+,1635(33.4%),3255(66.6%),4890(33.7%),1635,3255,4890,14489
,0,1000(20.7%),3826(79.3%),4826(33.3%),1000,3826,4826,14489
Contraception,Type0,3341(29.4%),8015(70.6%),11356(78.4%),3341,8015,11356,14489
,Type1,42(18.9%),180(81.1%),222(1.5%),42,180,222,14489
,Type2,50(27.8%),130(72.2%),180(1.2%),50,130,180,14489
,Type3,496(18.2%),2235(81.8%),2731(18.8%),496,2235,2731,14489
BMI,18.5-24.9,2447(26.3%),6863(73.7%),9310(64.3%),2447,6863,9310,14489
,>25,376(21.8%),1352(78.2%),1728(11.9%),376,1352,1728,14489
,<18.5,1106(32%),2345(68%),3451(23.8%),1106,2345,3451,14489
Total,,3929(27.1%),10560(72.9%),,3929,10560,14489,14489
