Feature,Response,Anemia(+),Anemia(-),Total
PaternalOccupation,Agriculture,2408(59.3%),1654(40.7%),4062(52.1%)
,NotWorking,498(66.2%),254(33.8%),752(9.6%)
,Others,1785(59.9%),1196(40.1%),2981(38.2%)
Watersource,Piped,527(53.3%),462(46.7%),989(12.7%)
,Improved,2153(59.4%),1471(40.6%),3624(46.5%)
,UnImproved,2011(63.2%),1171(36.8%),3182(40.8%)
TravelTimeToWater,<30min,2235(59.4%),1526(40.6%),3761(48.2%)
,>30min,1773(63.6%),1013(36.4%),2786(35.7%)
,On premise,683(54.7%),565(45.3%),1248(16%)
Religion,Orthodox,1108(47.1%),1243(52.9%),2351(30.2%)
,Protestant,776(54.8%),641(45.2%),1417(18.2%)
,Muslim,2692(70.2%),1145(29.8%),3837(49.2%)
,Other,115(60.5%),75(39.5%),190(2.4%)
FamilySize,1 to 4,1218(58.8%),854(41.2%),2072(26.6%)
,5 to 9,3156(60.4%),2072(39.6%),5228(67.1%)
,10+,317(64%),178(36%),495(6.4%)
ListerningRadio,Infrequent,502(54.9%),413(45.1%),915(11.7%)
,Sometimes,492(53.4%),430(46.6%),922(11.8%)
,NotAtAll,3697(62.1%),2261(37.9%),5958(76.4%)
WatchingTV,Infrequent,356(57.2%),266(42.8%),622(8%)
,Sometimes,452(50.4%),445(49.6%),897(11.5%)
,NotAtAll,3883(61.9%),2393(38.1%),6276(80.5%)
ReadingNews,Infrequent,199(50.1%),198(49.9%),397(5.1%)
,Sometimes,71(55.9%),56(44.1%),127(1.6%)
,NotAtAll,4421(60.8%),2850(39.2%),7271(93.3%)
WealthIndex,Poorest,2005(70.3%),849(29.7%),2854(36.6%)
,Poorer,819(59%),568(41%),1387(17.8%)
,Middle,613(53%),543(47%),1156(14.8%)
,Richer,518(52.7%),465(47.3%),983(12.6%)
,Richest,736(52%),679(48%),1415(18.2%)
ChildBirthSize,Average,1944(58.6%),1372(41.4%),3316(42.5%)
,Small,1338(65.7%),700(34.3%),2038(26.1%)
,Unknown,34(49.3%),35(50.7%),69(0.9%)
,Large,1375(58%),997(42%),2372(30.4%)
ChildHeight,50-75cm,1250(77.5%),363(22.5%),1613(20.7%)
,75-100cm,3085(59.1%),2136(40.9%),5221(67%)
,100cm+,356(37%),605(63%),961(12.3%)
ChildWeight,6-9.9kg,2047(76.1%),642(23.9%),2689(34.5%)
,10-14.9kg,2277(54.3%),1914(45.7%),4191(53.8%)
,15-19.9kg,299(36.6%),517(63.4%),816(10.5%)
,1-5.9kg,60(82.2%),13(17.8%),73(0.9%)
,20+kg,8(30.8%),18(69.2%),26(0.3%)
BirthOrder,3 to 5,1846(61%),1182(39%),3028(38.8%)
,6+,1236(62.9%),729(37.1%),1965(25.2%)
,1 to 2,1609(57.4%),1193(42.6%),2802(35.9%)
MaternalAge,15-19,169(73.5%),61(26.5%),230(3%)
,20-24,968(63.3%),561(36.7%),1529(19.6%)
,25-29,1443(61.3%),910(38.7%),2353(30.2%)
,30-34,1065(59.8%),715(40.2%),1780(22.8%)
,35-39,707(57%),533(43%),1240(15.9%)
,40-44,266(52.8%),238(47.2%),504(6.5%)
,45-49,73(45.9%),86(54.1%),159(2%)
Total,,4691(60.2%),3104(39.8%),7795(100%)
